word,frequency
Murccha,2
Sosa,6
betle,2
fragrans,6
Syzigium,3
aromaticum,2
karpura,9
camphora,3
cubeba,2
slaked,2
khadira,32
Abhyanga,4
lc,13
fRT,4
Conducting,11
relieves,27
Imparts,6
promotes,59
Increases,51
lifespan,25
Bestows,2
oils,45
tailas,4
usnagunas,3
graying,5
Strengthens,2
Prevents,2
Promotes,14
contractures,6
vyayama,7
duties,11
Children,2
habituated,16
sisira,20
vasanta,19
grisma,19
varsa,18
saradrtu,5
massaged,17
RT,16
SPT,4
HT,10
TRT,4
trsna,17
pratamaka,3
srama,8
chardi,18
distances,10
fights,2
dies,9
cbib,2
ifl,2
rc,9
Massaging,5
follicles,5
udvartana,9
mitigated,3
liquefied,8
Utsadana,4
creates,14
pastes,40
Uses,25
exerting,6
pores,9
obstructed,49
enhances,8
Improves,4
Enhances,4
rlM,2
ardita,9
adhmana,7
distension,38
pinasa,28
rivers,22
ponds,9
ftd,4
cbl,11
consumed,10
Hdl,5
Ml,22
TII,3
happened,4
ci,55
HMc,2
steya,2
parusa,2
vacana,8
anrta,2
sambhinna,2
sorrows,2
looked,36
consoled,4
ants,14
gods,64
cows,15
brahmins,2
elders,8
kings,13
guests,2
cooprative,2
enemies,6
ft,65
enemity,2
inflicted,14
Rt,4
propitiating,2
pursuits,2
actions,46
safest,4
nails,58
intervals,8
feet,74
orifices,13
gems,23
meters,2
wraping,2
Caitya,2
trees,69
seats,17
grahas,13
worshipped,9
husks,12
gravels,18
rituals,2
performed,37
hands,69
Ii,5
nostrils,36
knees,6
temples,16
houses,6
forests,9
grha,4
yards,4
loads,10
fc,17
HN,3
alcohols,4
mM,3
Ff,2
winds,19
coughing,11
offered,10
served,14
supplied,3
producing,29
using,41
controlling,3
flM,2
ul,21
gr,9
adheres,2
rules,30
advantages,13
preventing,4
massages,3
delineated,7
accumulated,58
planets,7
creatures,14
Nadika,2
Kastha,3
Muhurta,3
Yama,5
Astahga,12
Vio,2
Cl,28
tn,17
iviunuria,2
months,34
Seasons,2
sarad,16
hemanta,16
commencing,8
characterised,58
absorbs,13
Magha,6
phalguna,2
nd,26
Kumbha,7
Sravana,2
Rains,5
kartika,2
Nov,3
pusya,3
falls,23
makara,3
FT,6
fcH,3
approaches,2
weakened,11
rays,19
agneya,3
aracterized,2
clouds,22
Decreased,18
Debilitating,3
Uttarayana,2
Daksinayana,2
ature,2
rtus,9
solistice,2
enters,25
dravy,8
jf,6
Aci,2
attending,8
calls,6
containing,43
abhyahga,3
vatahara,8
padaghata,2
Hid,5
decoctions,54
kumkuma,5
kastun,2
dhupa,2
aguru,41
nourished,8
guda,21
jagg,2
sugarcane,57
harvested,10
blankets,4
skins,7
pra,9
ve,23
fibers,3
exposing,23
sunrays,7
recommended,68
thighs,53
buttocks,14
residing,7
rooms,6
heaters,2
troubles,8
JM,4
disturbs,3
consequences,9
laghu,79
besmeared,6
candana,104
jahgala,8
roasted,13
grapes,31
asava,7
sidhu,7
juices,10
wines,22
