IAST_normalized,ASCII
bastikarmacikitsāpacāraḥ,bastikarmacikitsaapacaarah
bastikuṇḍalaḥ,bastikundalah
bastiśīrṣam,bastishiirsham
bastivyāpad,bastivyaapad
bhagaḥ,bhagah
bhagandaraḥ,bhagandarah
bhagandarapūrvarūpam,bhagandarapuurvaruupam
bhagāsthi,bhagaasthi
bhagnaḥ,bhagnah
bhagnasandhānakaraḥ,bhagnasandhaanakarah
bhagnasandhānam,bhagnasandhaanam
bhaiṣajyakālaḥ,bhaishajyakaalah
bhaiṣajyakalpanā,bhaishajyakalpanaa
bhājanam,bhaajanam
bhakṣyam,bhakshyam
bhaktasaṃyuktam,bhaktasamyuktam
bhaktiḥ,bhaktih
bhañjanakarma,bhanjanakarma
bhānupākaḥ,bhaanupaakah
bhāraḥ,bhaarah
bhāraḥ,bhaarah
bhasma,bhasma
bhasmakaḥ,bhasmakah
bhasmaparīkṣā,bhasmapariikshaa
bhāvanā,bhaavanaa
bhāvaprakāśa,bhaavaprakaasha
bhayaḥ,bhayah
bhedaḥ,bhedah
bhedanakarma,bhedanakarma
bhedanakarma,bhedanakarma
bhedanakarma,bhedanakarma
bhedanam,bhedanam
bhedyarogaḥ,bhedyarogah
bheṣajāgāraḥ,bheshajaagaarah
bheṣajagṛham,bheshajagriham
bheṣajam,bheshajam
bheṣajam,bheshajam
bheṣajanimittajaḥ,bheshajanimittajah
bhinna_sadyovraṇaḥ,bhinna_sadyovranah
bhinnaḥ,bhinnah
bhiṣaṅnimittajaḥ,bhishannimittajah
bhojanottaram,bhojanottaram
bhrājakapittam,bhraajakapittam
bhrāmaram,bhraamaram
bhraṃśathuḥ,bhramshathuh
bhrūḥ,bhruuh
bhujā,bhujaa
bhujamadhyam,bhujamadhyam
bhujaśikharam,bhujashikharam
bhuktabhakta;_pītodakasya_āsthāpanasya_vyāpadaḥ,bhuktabhakta;_piitodakasya_aasthaapanasya_vyaapadah
bhuktādiḥ,bhuktaadih
bhūsvedaḥ,bhuusvedah
bhūtāgniḥ,bhuutaagnih
